video_id,duration_minutes,title_length,description_length,tags_count,has_thumbnail_custom,video_quality,category,language,has_subtitles,channel_subscribers,channel_age_months,previous_videos_count,avg_upload_frequency_days,comments_count,likes_count,shares_count,playlist_adds,promoted,upload_time,upload_day,total_views,total_views_log,engagement_rate,views_per_tag
VID00197,3,53,589.0,34.0,Sim,720p,Fitness,Português,Não,474,,406,9,2804.0,5269,,624,Não,Tarde,Sexta,2219779,14.612918649838724,0.0036368485331197387,63422.25714285715
VID00987,60,95,,17.0,Não,720p,Culinária,Português,Não,899904,,25,14,9634.0,9448,1679.0,894,Sim,Tarde,Sexta,719904,13.48687453784236,0.026506311952704805,39994.666666666664
VID01091,47,35,168.0,20.0,Não,1080p,Gaming,Espanhol,Não,761732,59.0,59,1,6943.0,34028,542.0,540,Não,Manhã,Seg-Qui,1420456,14.166489208786876,0.028843554464200227,67640.76190476191
VID00388,8,12,260.0,4.0,Sim,1080p,Tecnologia,Português,Sim,154261,84.0,93,10,9427.0,42695,3096.0,188,Não,Madrugada,Sábado,329746,12.70608097273681,0.15806711832743991,65949.2
VID02222,56,94,648.0,48.0,Não,720p,Vlogs,Espanhol,Não,843352,6.0,205,13,2993.0,40761,311.0,957,Não,Manhã,Domingo,984985,13.800382706855247,0.04442098103016797,20101.73469387755
VID00169,16,98,94.0,1.0,Sim,720p,Educação,Português,Não,212794,97.0,375,8,5108.0,33562,4814.0,821,Não,Manhã,Domingo,266178,12.491924293777227,0.14527872326037464,133089.0
VID01379,34,96,430.0,26.0,Sim,480p,Vlogs,Português,Sim,542998,56.0,367,12,5518.0,33442,1515.0,960,Não,Madrugada,Sábado,555307,13.227278193752973,0.07015938931077764,20566.925925925927
VID02463,38,45,775.0,12.0,Sim,1080p,Tecnologia,Português,Sim,129571,116.0,370,10,7438.0,31157,1599.0,107,Não,Madrugada,Sábado,264052,12.483905119555105,0.14616439186220895,20311.69230769231
VID00706,56,32,305.0,3.0,Não,1080p,Fitness,Português,Não,657109,15.0,253,18,3990.0,20654,3612.0,176,Não,Tarde,Seg-Qui,479746,13.08101416059349,0.05136884934944742,119936.5
VID02077,14,37,430.0,2.0,Sim,1080p,Educação,Português,Não,50350,20.0,273,6,9341.0,27868,1417.0,697,Não,Tarde,Seg-Qui,170439,12.046138607613848,0.21831271011916287,56813.0
VID01849,33,18,723.0,30.0,Sim,480p,Culinária,Português,Não,606183,6.0,154,20,1725.0,17368,1491.0,437,Não,Noite,Domingo,494000,13.11029282045951,0.0386497975708502,15935.483870967742
VID01412,37,37,807.0,11.0,Não,1080p,Vlogs,Português,Não,48296,88.0,299,7,3546.0,1150,4206.0,20,Não,Noite,Sábado,122096,11.712571089772378,0.038461538461538464,10174.666666666666
VID00431,42,69,765.0,49.0,Não,1080p,Educação,Português,Não,578623,4.0,2,25,508.0,39217,3317.0,369,Não,Madrugada,Sexta,421856,12.952421673032017,0.09416720397481605,8437.12
VID02148,41,30,355.0,29.0,Sim,720p,Gaming,Português,Sim,83046,4.0,253,5,4981.0,40527,4169.0,319,Não,Noite,Sexta,279129,12.539432902103382,0.1630357289998531,9304.3
VID02493,19,51,392.0,17.0,Sim,1080p,Gaming,Português,Não,176204,48.0,93,12,8560.0,1429,2633.0,241,Não,Noite,Sexta,329481,12.705277003207941,0.03031737793681578,18304.5
VID01620,44,90,,2.0,Sim,1080p,Gaming,Português,Sim,66573,12.0,407,11,4675.0,2419,1601.0,17,Sim,Manhã,Domingo,200108,12.206617497071612,0.035450856537469766,66702.66666666667
VID00862,55,44,810.0,7.0,Sim,720p,Música,Português,Não,766132,48.0,65,1,4599.0,5968,1732.0,365,Não,Madrugada,Seg-Qui,1233997,14.025769862700614,0.008563229894400068,154249.625
VID00283,25,69,647.0,44.0,Sim,1080p,Música,Inglês,Sim,474140,45.0,14,28,18.0,27330,1960.0,262,Não,Tarde,Sábado,2076319,14.546107653971058,0.013171386477704052,46140.42222222222
VID01514,7,15,776.0,6.0,Sim,480p,Educação,Inglês,Sim,140705,91.0,4,6,5570.0,9507,4354.0,574,Não,Noite,Sábado,455382,13.028894102095062,0.03310846717700743,65054.57142857143
VID00650,11,82,483.0,12.0,Sim,720p,Música,Inglês,Sim,960950,107.0,319,28,1440.0,23691,2072.0,381,Não,Noite,Sábado,3907314,15.178360995307317,0.006431784084923812,300562.6153846154
VID01076,52,30,866.0,31.0,Sim,720p,Educação,Inglês,Sim,64542,94.0,29,9,7995.0,4247,1932.0,136,Não,Manhã,Sábado,336576,12.726582228041769,0.036372171515497244,10518.0
VID01356,7,86,952.0,19.0,Sim,720p,Culinária,Português,Não,914791,51.0,78,21,187.0,5624,316.0,205,Não,Manhã,Sábado,646251,13.37894479957755,0.008991862294990646,32312.55
VID01383,11,91,99.0,18.0,Sim,480p,Culinária,Português,Não,55182,61.0,79,11,3038.0,10549,111.0,233,Não,Madrugada,Sexta,92928,11.439591039705798,0.14620996900826447,4890.9473684210525
